iter	Passed	Remaining
0	1	179
1	2	128
2	3	109
3	3	93
4	4	85
5	5	81
6	5	77
7	6	74
8	7	71
9	7	68
10	8	66
11	8	64
12	9	62
13	10	61
14	10	60
15	11	58
16	11	57
17	12	56
18	13	56
19	14	57
20	15	56
21	15	56
22	16	55
23	17	53
24	17	52
25	18	51
26	18	50
27	19	49
28	19	48
29	20	47
30	21	47
31	21	46
32	22	45
33	23	44
34	23	44
35	24	43
36	25	42
37	25	41
38	26	41
39	26	40
40	27	39
41	27	38
42	28	38
43	29	37
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	30
54	36	30
55	37	29
56	37	28
57	38	27
58	39	27
59	39	26
60	40	25
61	41	25
62	41	24
63	42	23
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	46	20
70	47	19
71	48	18
72	48	17
73	49	17
74	49	16
75	50	15
76	50	15
77	51	14
78	52	13
79	52	13
80	53	12
81	53	11
82	54	11
83	55	10
84	55	9
85	56	9
86	56	8
87	57	7
88	58	7
89	59	6
90	60	5
91	60	5
92	61	4
93	61	3
94	62	3
95	63	2
96	63	1
97	64	1
98	64	0
99	65	0
