iter	Passed	Remaining
0	135	135282
1	137	68605
2	139	46447
3	142	35441
4	146	29218
5	149	24734
6	151	21463
7	152	18944
8	154	16965
9	156	15449
10	157	14182
11	160	13184
12	161	12275
13	163	11485
14	164	10810
15	165	10197
16	167	9660
17	168	9186
18	170	8789
19	172	8452
20	174	8143
21	176	7831
22	177	7532
23	178	7249
24	179	6995
25	180	6758
26	181	6538
27	182	6347
28	184	6179
29	188	6105
30	190	5942
31	190	5776
32	191	5625
33	193	5486
34	194	5351
35	194	5219
36	195	5095
37	197	4989
38	198	4895
39	200	4801
40	202	4734
41	203	4646
42	204	4559
43	205	4472
44	206	4386
45	207	4306
46	208	4229
47	209	4154
48	210	4081
49	211	4023
50	213	3971
51	216	3938
52	217	3882
53	218	3822
54	219	3764
55	219	3707
56	220	3653
57	221	3601
58	222	3554
59	223	3506
60	224	3461
61	226	3427
62	228	3395
63	229	3361
64	230	3321
65	231	3280
66	232	3239
67	233	3199
68	234	3161
69	235	3124
70	235	3087
71	237	3058
72	238	3025
73	238	2990
74	239	2958
75	241	2930
76	242	2902
77	244	2884
78	245	2862
79	246	2832
80	247	2804
81	248	2776
82	248	2745
83	249	2720
84	250	2695
85	251	2670
86	252	2647
87	253	2625
88	254	2603
89	255	2585
90	257	2569
91	259	2560
92	260	2539
93	261	2518
94	262	2497
95	263	2477
96	263	2456
97	264	2436
98	265	2416
99	266	2396
100	267	2377
101	268	2360
102	269	2342
103	270	2327
104	271	2315
105	273	2308
106	274	2292
107	275	2275
108	276	2259
109	277	2244
110	278	2228
111	279	2212
112	280	2198
113	280	2183
114	281	2168
115	282	2152
116	283	2136
117	283	2122
118	284	2109
119	286	2100
120	287	2091
121	288	2079
122	289	2067
123	290	2053
124	291	2040
125	292	2028
126	293	2015
127	293	2002
128	295	1994
129	296	1983
130	297	1971
131	298	1961
132	299	1952
133	301	1948
134	303	1943
135	304	1933
136	305	1922
137	306	1912
138	306	1901
139	307	1891
140	308	1880
141	309	1868
142	310	1860
143	311	1851
144	312	1840
145	312	1830
146	313	1821
147	315	1817
148	317	1815
149	318	1807
150	319	1797
151	320	1788
152	321	1779
153	322	1770
154	323	1762
155	324	1753
156	325	1746
157	325	1737
158	326	1728
159	327	1719
160	327	1708
161	328	1701
162	330	1698
163	332	1695
164	333	1688
165	334	1681
166	335	1673
167	336	1665
168	337	1657
169	338	1650
170	338	1642
171	340	1637
172	340	1629
173	341	1622
174	342	1614
175	343	1607
176	345	1604
177	347	1602
178	348	1596
179	349	1590
180	350	1583
181	350	1577
182	351	1570
183	352	1564
184	353	1556
185	354	1550
186	355	1545
187	356	1538
188	357	1532
189	358	1526
190	359	1523
191	361	1521
192	362	1516
193	363	1511
194	364	1505
